recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2002,CA-36,81455.0
"WESTERN VIDEO, INC.",2002,CA-41,2890.0
AIC INTERNATIONAL MARKETING CORP,2002,CA-24,0.0
"JOB OPTIONS, INCORPORATED",2002,CA-90,27156.0
"RNK INTERNATIONAL, INC.",2002,CA-90,72825.0
"TMMT, INC",2002,CA-50,69990.0
THE BOEING COMPANY,2002,CA-44,73650.0
NORTHROP GRUMMAN SYSTEMS CORP,2002,CA-27,47020.0
"PARSONS ENGINEERING SCIENCE, INC.",2002,CA-28,28810.0
"UMPCO, INC.",2002,CA-45,34011.0
"NATIONAL MAINTENANCE, INC.",2002,CA-24,35788.0
THE BOEING COMPANY,2002,CA-44,272639.0
PARKER HANNIFIN CUSTOMER SUPPO,2002,CA-47,53533.0
"LEON CONSTRUCTION, INC",2002,CA-24,0.0
CONTINUUM,2002,CA-17,32670.0
TRW INC,2002,CA-36,97500.0
RAPISCAN SYSTEMS HIGH ENERGY INSPECTION CORPORATION,2002,CA-17,150000.0
"CUBIC DEFENSE APPLICATIONS, INC.",2002,CA-90,50400.0
MISSION RESEARCH CORPORATION,2002,CA-24,83332.0
ISX CORPORATION,2002,CA-26,374951.0
FEDERAL EXPRESS CORPORATION,2002,,-294234.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-44,300000.0
"EVOLVING RESOURCES, INC.",2002,CA-26,105000.0
"MEGGITT SAFETY SYSTEMS, INC.",2002,CA-31,48039.0
SYSTEMS APPLICATION & TECHNOLOGIES INC,2002,CA-26,89980.0
ADVANCED CONCEPTS AND MISSION SYSTEMS,2002,CA-06,248532.0
"VALUE MANAGEMENT STRATEGIES, INC.",2002,CA-50,12558.0
AEROPLATE CORP.,2002,CA-20,193297.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-36,149929.0
"LEIDOS, INC.",2002,CA-90,92726.0
"LEIDOS, INC.",2002,CA-90,173580.0
CALIFORNIA INSTITUTE OF TECHNOLOGY,2002,CA-28,397000.0
"SYMVIONICS, INC.",2002,CA-28,2905.0
"A & D FIRE PROTECTION, INC.",2002,CA-48,2284000.0
"ALTERNATIVE TECHNOLOGY & MGMT,",2002,CA-03,-1000.0
"DTK COMPANY, INC.",2002,CA-01,536571.0
GILBANE FEDERAL,2002,CA-10,159678.0
"LEIDOS, INC.",2002,CA-90,950000.0
LUSTER NATIONAL INC,2002,CA-12,-1000.0
PARKER-HANNIFIN CORPORATION,2002,CA-26,33931.0
"AVIBANK MFG., INC.",2002,CA-29,259318.0
KWANG COOK & ASSOCIATES INC,2002,CA-45,59704.0
"LEIDOS, INC.",2002,CA-90,500000.0
"SPEC-BUILT SYSTEMS, INC.",2002,CA-52,677822.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-44,100000.0
ANDREW C CHEN,2002,CA-90,-5617.0
ERICKSON-HALL CONSTRUCTION CO,2002,CA-90,10189.0
T E SERVICES CORPORATION,2002,CA-13,4416.0
"LEIDOS, INC.",2002,CA-90,492000.0
"ROCKWELL COLLINS, INC.",2002,CA-90,581624.0
NORTHROP GRUMMAN CORPORATION,2002,CA-38,-40000.0
NORTHROP GRUMMAN CORPORATION,2002,CA-38,120775.0
"MARRS SERVICES, INC.",2002,CA-38,42909.0
"KAL ARCHITECTS, INC.",2002,CA-47,1137.0
METATECH CORP,2002,CA-24,31987.0
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2002,CA-36,-738197.0
"TERO TEK INTERNATIONAL, INC.",2002,CA-22,184284.0
"I.E.-PACIFIC, INC.",2002,CA-90,3648.0
NORTHROP GRUMMAN SYSTEMS CORP,2002,CA-27,6357270.0
"LEIDOS, INC.",2002,CA-90,9011767.0
"TOWILL, INC.",2002,CA-90,59876.0
"LEIDOS, INC.",2002,CA-90,103080.0
NORTHROP GRUMMAN CORPORATION,2002,CA-38,200000.0
"FRUIT GROWERS LABORATORY, INC",2002,CA-26,-1573.0
"LEIDOS, INC.",2002,CA-90,81882.0
MCA ENGINEERS INC,2002,CA-26,103187.0
"LEIDOS, INC.",2002,CA-90,1488399.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2002,CA-44,102896.0
ACE ENGINEERING INC,2002,CA-31,186867.0
MARFRED INDUSTRIES,2002,CA-90,35999.0
FEDERAL EXPRESS CORPORATION,2002,,269893.0
TOWNEPLACE SUITES BY MARRIOTT,2002,CA-43,40121.0
"REYES CONSTRUCTION, INC.",2002,CA-90,83705.0
PARSONS GOVERNMENT SERVICES INC.,2002,CA-28,500000.0
FEDERAL EXPRESS CORPORATION,2002,,167037.0
ALL CITIES ENTERPRISES,2002,CA-35,112449.0
"URS GROUP, INC",2002,CA-06,213480.0
JOHN GALLUP & ASSOCIATES LLC,2002,CA-90,37350.0
"LEIDOS, INC.",2002,CA-90,143286.0
BECKER & PRITCHETT,2002,CA-90,-1232.0
"RAYTHEON SECURE INFORMATION SYSTEMS, LLC",2002,CA-90,434477.0
"CHARLES T. BRYANT & ASSOCIATES, INC",2002,CA-28,14272.0
"EVOLVING RESOURCES, INC.",2002,CA-26,32917.0
"SOUTH BAY EDC, INC",2002,CA-52,10000.0
JOHN GALLUP & ASSOCIATES LLC,2002,CA-90,202544.0
"LEIDOS, INC.",2002,CA-90,70000.0
"PARSONS, HARLAND, BARTHOLOMEW & ASSOC, INC",2002,CA-28,77000.0
JACOBS ENGINEERING GROUP INC,2002,CA-28,96431.0
"NEW CINGULAR WIRELESS SERVICES, INC.",2002,CA-90,12470.0
"CENTERRA INTEGRATED CONSTRUCTION SERVICES, LLC",2002,CA-50,147905.0
AGBAYANI CONSTRUCTION CORPORATION,2002,CA-15,-1285.0
ALL CITIES ENTERPRISES,2002,CA-35,5721.0
SENIOR OPERATIONS LLC,2002,CA-30,329005.0
"LOCKHEED MARTIN SERVICES, LLC",2002,CA-17,66165.52
THE BOEING COMPANY,2002,CA-47,35756767.0
"ACORES FOODS, INC",2002,CA-19,43095.0
