recipient_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
"SYMVIONICS, INC.",2003,CA-28,190255.0
"B & B HEAVY EQUIPMENT SALES & RENTALS, INC",2003,CA-48,315461.0
UNITED PARADYNE CORP,2003,CA-24,272682.0
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",2003,CA-36,4090.0
"AMERITAC, INC.",2003,CA-10,66483.0
"WILEY X, INC.",2003,CA-14,4000.0
THE BOEING COMPANY,2003,CA-44,-11000000.0
"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",2003,CA-90,207477.0
VISX INCORPORATED,2003,CA-17,0.0
SRS INFORMATION SERVICES,2003,CA-47,35000.0
MISSION RESEARCH CORPORATION,2003,CA-24,18000.0
"ROCKWELL COLLINS, INC.",2003,CA-17,67396.0
"APEX DESIGN TECHNOLOGY, INC",2003,CA-46,33720.0
BAE SYSTEMS NATIONAL SECURITY SOLUTIONS INC.,2003,CA-50,75060.0
"LEIDOS, INC.",2003,CA-90,32000.0
"LEIDOS, INC.",2003,CA-90,50000.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,2003,CA-36,50000.0
"BECHTEL ENVIRONMENTAL, INC",2003,CA-90,-468.0
"LEIDOS, INC.",2003,CA-90,698878.0
"PROJECT RESOURCES, INC.",2003,CA-90,2265.0
GENERAL DYNAMICS GOVERNMENT SY,2003,CA-16,-22800.0
LIGHTHOUSE FOR THE BLIND & VISUALLY IMPAIRED,2003,CA-90,403200.0
MRCI,2003,CA-21,37600.0
"SYSTEMS TECHNOLOGY, INC",2003,CA-43,445187.0
FLUID COMPONENTS INC,2003,CA-50,-1350.0
