recipient_name,recipient_county_name,action_date_fiscal_year,prime_award_transaction_recipient_cd_current,federal_action_obligation
ROBERT PETERSON,VENTURA,2008,CA-26,33252.04
HUMMINGBIRDS INC,SAN DIEGO,2008,CA-48,0.0
FURNITURE BY THURSTON,NEVADA,2008,CA-03,0.0
ARGON OFFICE SUPPLIES,SAN FRANCISCO,2008,CA-11,5198.0
"LEE AIR COMPANY, INC.",LOS ANGELES,2008,CA-29,300.0
"HC MERCHANDISERS, INC.",LOS ANGELES,2008,CA-31,910.0
OFFICE AUTOMATION GROUP,,2008,CA-90,6335.0
"TUFFSTUFF FITNESS INTERNATIONAL, INC.",LOS ANGELES,2008,CA-35,0.0
"LORIMAR GROUP, INC.",,2008,CA-90,61575.9
"TELEDYNE, INC",,2008,CA-90,0.0
RAYTHEON COMPANY,,2008,CA-36,3299919.0
NORTHROP GRUMMAN SYSTEMS CORPORATION,,2008,CA-90,3981797.0
US NIGHT VISION CORPORATION,PLACER,2008,CA-03,230.0
"WEST COAST BUSINESS PRODUCTS, INC.",LOS ANGELES,2008,CA-32,4096.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,,2008,CA-90,-1786.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2008,CA-52,164675.0
APPLE INC,SANTA CLARA,2008,CA-17,29700.0
NATIONAL STEEL AND SHIPBUILDING COMPANY,,2008,CA-90,33253.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2008,CA-52,405306.0
YUCCA VALLEY FIRE EXTINGUISHER,SAN BERNARDINO,2008,CA-23,5800.0
FURNITURE BY THURSTON,NEVADA,2008,CA-03,8400.0
NORITSU AMERICA CORPORATION,ORANGE,2008,CA-45,36331.43
"RAYTHEON APPLIED SIGNAL TECHNOLOGY, INC.",,2008,CA-90,54118.0
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,SAN DIEGO,2008,CA-52,7431.0
